County_FIPS,County_Name,County_State,Hyperlink,Icon_Airports,Icon_Bridges,Icon_Demographics,Icon_Maritime,Icon_Railroad,Icon_Trips,State FIPS,State_Name,Non-Commercial -Civil Public Use Airports and Seaplane base,Non-Commercial -Other Aerodromes,Number of Bridges,Number of business establishments,Number of resident workers,Number of resident workers who commute to work in other countie,Number of resident workers who commute within county,Number of resident workers who work at home,Number of residents,Number of workers from other counties who commute to work in th,Pct of Medium to Fair Condition Bridges,Pct of Poor Condition Bridges,Percent of resident workers who commute by transit,Primary and Commercial Airports,Route miles of freight railroad,Route miles of passenger railroad and rail transit,Total Docks,Total Marinas
51001,Accomack County,"Accomack County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,3,11,31,745,"14,140","1,350","11,200",505,"33,060","2,959",0.870968,0.129032,0.005941,0,35.6,0,0,0
51003,Albemarle County,"Albemarle County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,6,261,"2,808","49,345","18,661","30,105","3,605","104,285","19,220",0.934866,0.065134,0.020043,1,77.3,65.5,Null,Null
51510,Alexandria city,"Alexandria city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,58,"4,670","94,430","34,594","25,680","4,750","151,475","68,633",0.948276,0.051724,0.22154,0,10.6,9.9,Null,Null
51005,Alleghany County,"Alleghany County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,191,247,"6,355","2,127","3,840",145,"15,920","2,513",0.937173,0.062827,0.003934,0,36.3,33.6,Null,Null
51007,Amelia County,"Amelia County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,53,275,"5,925","4,189","1,675",145,"12,795","4,249",0.886792,0.113208,0.006751,0,19.1,0,Null,Null
51009,Amherst County,"Amherst County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,3,170,574,"14,480","8,905","5,375",400,"32,000","9,087",0.964706,0.035294,0.013812,0,40.1,19.3,Null,Null
51011,Appomattox County,"Appomattox County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,4,74,301,"6,525","4,129","2,370",330,"15,315","4,157",0.986486,0.013514,0.005364,0,20.4,0,Null,Null
51013,Arlington County,"Arlington County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,1,172,"6,386","143,100","36,234","47,610","8,805","226,090","95,374",0.97093,0.02907,0.257827,1,2.3,2.3,Null,Null
51015,Augusta County,"Augusta County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,353,"1,423","34,025","16,294","17,555","1,685","74,330","16,474",0.957507,0.042493,0.004409,1,74,33.5,Null,Null
51017,Bath County,"Bath County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,3,70,127,"2,170",520,"1,620",100,"4,560",555,0.942857,0.057143,0.011521,0,14.9,14.9,Null,Null
51019,Bedford County,"Bedford County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,9,196,"1,715","35,680","22,536","12,830","1,405","76,935","22,853",0.887755,0.112245,0.002242,0,84.7,31.8,Null,Null
51021,Bland County,"Bland County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,Null,Null,122,73,"2,550","1,119",950,85,"6,610","1,603",0.967213,0.032787,0.001569,Null,Null,Null,Null,Null
51023,Botetourt County,"Botetourt County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,5,199,750,"15,850","10,388","5,315",555,"33,190","10,555",0.974874,0.025126,0.002208,0,88.5,5.7,Null,Null
51520,Bristol city,"Bristol city, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,0,2,51,587,"7,305","1,589","3,295",190,"17,340","4,018",0.882353,0.117647,0.015743,0,4.1,0,Null,Null
51025,Brunswick County,"Brunswick County, Virginia",here.,Airports,Bridges,Demographics,Maritime,Railroad,Person Trips,51,Virginia,1,0,149,250,"6,425","3,272","2,930",175,"16,575","3,520",0.926174,0.073826,0.001556,0,Null,Null,Null,Null
