TIER,COUNTY,GEOID,POLLUTANT,POLLUTANT TYPE,EMISSIONS,UNIT OF MEASURE
Highway Vehicles,Fairfax,51059,Carbon Monoxide,CAP,47582.35686,TON
Highway Vehicles,Virginia Beach city,51810,Carbon Monoxide,CAP,24596.82736,TON
Highway Vehicles,Henrico,51087,Carbon Monoxide,CAP,22650.12137,TON
Highway Vehicles,Chesterfield,51041,Carbon Monoxide,CAP,21957.47221,TON
Highway Vehicles,Chesapeake city,51550,Carbon Monoxide,CAP,18821.42652,TON
Highway Vehicles,Prince William,51153,Carbon Monoxide,CAP,18602.45939,TON
Highway Vehicles,Norfolk city,51710,Carbon Monoxide,CAP,14914.85742,TON
Highway Vehicles,Richmond city,51760,Carbon Monoxide,CAP,13776.34451,TON
Highway Vehicles,Loudoun,51107,Carbon Monoxide,CAP,13748.01241,TON
Highway Vehicles,Newport News city,51700,Carbon Monoxide,CAP,11846.42796,TON
Highway Vehicles,Spotsylvania,51177,Carbon Monoxide,CAP,11053.62825,TON
Highway Vehicles,Augusta,51015,Carbon Monoxide,CAP,10945.15842,TON
Highway Vehicles,Albemarle,51003,Carbon Monoxide,CAP,9931.80817,TON
Highway Vehicles,Hampton city,51650,Carbon Monoxide,CAP,9241.762141,TON
Highway Vehicles,Fauquier,51061,Carbon Monoxide,CAP,9103.43933,TON
Highway Vehicles,Rockingham,51165,Carbon Monoxide,CAP,8898.937571,TON
Highway Vehicles,Frederick,51069,Carbon Monoxide,CAP,8661.27979,TON
Highway Vehicles,Suffolk city,51800,Carbon Monoxide,CAP,8403.96572,TON
Highway Vehicles,Roanoke city,51770,Carbon Monoxide,CAP,7888.497968,TON
Highway Vehicles,Montgomery,51121,Carbon Monoxide,CAP,7545.5429,TON
Highway Vehicles,Stafford,51179,Carbon Monoxide,CAP,7508.831296,TON
Highway Vehicles,Roanoke,51161,Carbon Monoxide,CAP,7496.636521,TON
Highway Vehicles,Hanover,51085,Carbon Monoxide,CAP,7484.884718,TON
Highway Vehicles,Caroline,51033,Carbon Monoxide,CAP,7385.304454,TON
Highway Vehicles,Arlington,51013,Carbon Monoxide,CAP,7210.536301,TON
Highway Vehicles,Shenandoah,51171,Carbon Monoxide,CAP,7157.766937,TON
Highway Vehicles,Bedford,51019,Carbon Monoxide,CAP,6766.778679,TON
Highway Vehicles,Wythe,51197,Carbon Monoxide,CAP,6038.810528,TON
Highway Vehicles,Fairfax,51059,Nitrogen Oxides,CAP,5929.289081,TON
Highway Vehicles,Lynchburg city,51680,Carbon Monoxide,CAP,5846.16726,TON
Highway Vehicles,Pittsylvania,51143,Carbon Monoxide,CAP,5782.052054,TON
Highway Vehicles,Henry,51089,Carbon Monoxide,CAP,5671.602062,TON
Highway Vehicles,Botetourt,51023,Carbon Monoxide,CAP,5670.910985,TON
Highway Vehicles,Washington,51191,Carbon Monoxide,CAP,5527.563574,TON
Highway Vehicles,Rockbridge,51163,Carbon Monoxide,CAP,5493.947672,TON
Highway Vehicles,Campbell,51031,Carbon Monoxide,CAP,5313.136528,TON
Highway Vehicles,Franklin,51067,Carbon Monoxide,CAP,5189.447802,TON
Highway Vehicles,James city,51095,Carbon Monoxide,CAP,5055.813407,TON
Highway Vehicles,Louisa,51109,Carbon Monoxide,CAP,4970.42924,TON
Highway Vehicles,York,51199,Carbon Monoxide,CAP,4848.472662,TON
Highway Vehicles,Goochland,51075,Carbon Monoxide,CAP,4741.431017,TON
Highway Vehicles,Carroll,51035,Carbon Monoxide,CAP,4590.810287,TON
Highway Vehicles,New Kent,51127,Carbon Monoxide,CAP,4503.226357,TON
Highway Vehicles,Mecklenburg,51117,Carbon Monoxide,CAP,4431.63677,TON
Highway Vehicles,Warren,51187,Carbon Monoxide,CAP,4425.733345,TON
Highway Vehicles,Portsmouth city,51740,Carbon Monoxide,CAP,4419.033075,TON
Highway Vehicles,Alexandria city,51510,Carbon Monoxide,CAP,4372.362891,TON
Highway Vehicles,Pulaski,51155,Carbon Monoxide,CAP,4222.818578,TON
Highway Vehicles,Dinwiddie,51053,Carbon Monoxide,CAP,4056.451391,TON
Highway Vehicles,Isle of Wight,51093,Carbon Monoxide,CAP,4047.939837,TON
Highway Vehicles,Culpeper,51047,Carbon Monoxide,CAP,4041.699329,TON
Highway Vehicles,Halifax,51083,Carbon Monoxide,CAP,3950.244608,TON
Highway Vehicles,Fairfax,51059,Volatile Organic Compounds,CAP,3666.690738,TON
Highway Vehicles,Accomack,51001,Carbon Monoxide,CAP,3638.037883,TON
Highway Vehicles,Smyth,51173,Carbon Monoxide,CAP,3557.774479,TON
Highway Vehicles,Gloucester,51073,Carbon Monoxide,CAP,3530.398218,TON
Highway Vehicles,Prince George,51149,Carbon Monoxide,CAP,3514.298009,TON
Highway Vehicles,Amherst,51009,Carbon Monoxide,CAP,3419.438361,TON
Highway Vehicles,Danville city,51590,Carbon Monoxide,CAP,3323.063923,TON
Highway Vehicles,Henrico,51087,Nitrogen Oxides,CAP,3080.137681,TON
Highway Vehicles,Tazewell,51185,Carbon Monoxide,CAP,3063.078458,TON
Highway Vehicles,Chesterfield,51041,Nitrogen Oxides,CAP,3046.555988,TON
Highway Vehicles,Sussex,51183,Carbon Monoxide,CAP,2945.380229,TON
Highway Vehicles,Wise,51195,Carbon Monoxide,CAP,2920.334207,TON
Highway Vehicles,Virginia Beach city,51810,Nitrogen Oxides,CAP,2887.510308,TON
Highway Vehicles,Orange,51137,Carbon Monoxide,CAP,2881.541779,TON
Highway Vehicles,Powhatan,51145,Carbon Monoxide,CAP,2864.250353,TON
Highway Vehicles,Harrisonburg city,51660,Carbon Monoxide,CAP,2761.018946,TON
Highway Vehicles,Petersburg city,51730,Carbon Monoxide,CAP,2735.424848,TON
Highway Vehicles,Brunswick,51025,Carbon Monoxide,CAP,2726.768191,TON
Highway Vehicles,Prince William,51153,Nitrogen Oxides,CAP,2619.429905,TON
Highway Vehicles,Russell,51167,Carbon Monoxide,CAP,2615.140413,TON
Highway Vehicles,Southampton,51175,Carbon Monoxide,CAP,2586.700389,TON
Highway Vehicles,Virginia Beach city,51810,Volatile Organic Compounds,CAP,2473.190949,TON
Highway Vehicles,Fredericksburg city,51630,Carbon Monoxide,CAP,2472.236313,TON
Highway Vehicles,Chesapeake city,51550,Nitrogen Oxides,CAP,2460.431881,TON
Highway Vehicles,Augusta,51015,Nitrogen Oxides,CAP,2456.768109,TON
Highway Vehicles,Greensville,51081,Carbon Monoxide,CAP,2439.708444,TON
Highway Vehicles,Charlottesville city,51540,Carbon Monoxide,CAP,2364.113686,TON
Highway Vehicles,Scott,51169,Carbon Monoxide,CAP,2324.765134,TON
Highway Vehicles,Alleghany,51005,Carbon Monoxide,CAP,2274.506681,TON
Highway Vehicles,Page,51139,Carbon Monoxide,CAP,2255.103615,TON
Highway Vehicles,King George,51099,Carbon Monoxide,CAP,2243.556007,TON
Highway Vehicles,Prince Edward,51147,Carbon Monoxide,CAP,2177.814172,TON
Highway Vehicles,Clarke,51043,Carbon Monoxide,CAP,2137.321816,TON
Highway Vehicles,Chesterfield,51041,Volatile Organic Compounds,CAP,2093.955478,TON
Highway Vehicles,Bland,51021,Carbon Monoxide,CAP,2088.639031,TON
Highway Vehicles,Nelson,51125,Carbon Monoxide,CAP,2069.06325,TON
Highway Vehicles,Henrico,51087,Volatile Organic Compounds,CAP,2017.654983,TON
Highway Vehicles,Buchanan,51027,Carbon Monoxide,CAP,1990.771382,TON
Highway Vehicles,Northampton,51131,Carbon Monoxide,CAP,1986.747491,TON
Highway Vehicles,Richmond city,51760,Nitrogen Oxides,CAP,1893.330719,TON
Highway Vehicles,Salem city,51775,Carbon Monoxide,CAP,1866.410298,TON
Highway Vehicles,Patrick,51141,Carbon Monoxide,CAP,1839.542672,TON
Highway Vehicles,Fluvanna,51065,Carbon Monoxide,CAP,1839.074799,TON
Highway Vehicles,Norfolk city,51710,Nitrogen Oxides,CAP,1833.621438,TON
Highway Vehicles,Rockingham,51165,Nitrogen Oxides,CAP,1784.423297,TON
Highway Vehicles,Shenandoah,51171,Nitrogen Oxides,CAP,1783.683329,TON
Highway Vehicles,Frederick,51069,Nitrogen Oxides,CAP,1759.166901,TON
Highway Vehicles,Lee,51105,Carbon Monoxide,CAP,1723.865933,TON
