TIER,COUNTY,GEOID,POLLUTANT,POLLUTANT TYPE,EMISSIONS,UNIT OF MEASURE
Off-Highway,Fairfax,51059,Carbon Monoxide,CAP,44844.93334,TON
Off-Highway,Loudoun,51107,Carbon Monoxide,CAP,25009.89655,TON
Off-Highway,Virginia Beach city,51810,Carbon Monoxide,CAP,19032.89389,TON
Off-Highway,Frederick,51069,Carbon Monoxide,CAP,14618.48678,TON
Off-Highway,Prince William,51153,Carbon Monoxide,CAP,12044.99428,TON
Off-Highway,Chesapeake city,51550,Carbon Monoxide,CAP,9795.034671,TON
Off-Highway,Norfolk city,51710,Carbon Monoxide,CAP,9735.813086,TON
Off-Highway,Arlington,51013,Carbon Monoxide,CAP,8651.221961,TON
Off-Highway,Hanover,51085,Carbon Monoxide,CAP,8513.864069,TON
Off-Highway,Henrico,51087,Carbon Monoxide,CAP,8038.268169,TON
Off-Highway,Chesterfield,51041,Carbon Monoxide,CAP,7849.767386,TON
Off-Highway,Accomack,51001,Carbon Monoxide,CAP,7569.061349,TON
Off-Highway,Richmond city,51760,Carbon Monoxide,CAP,6916.088553,TON
Off-Highway,Newport News city,51700,Carbon Monoxide,CAP,6472.893691,TON
Off-Highway,Northampton,51131,Carbon Monoxide,CAP,5930.374325,TON
Off-Highway,York,51199,Carbon Monoxide,CAP,5488.069393,TON
Off-Highway,Mecklenburg,51117,Carbon Monoxide,CAP,4691.224911,TON
Off-Highway,Norfolk city,51710,Nitrogen Oxides,CAP,4273.527098,TON
Off-Highway,Albemarle,51003,Carbon Monoxide,CAP,3927.232882,TON
Off-Highway,Alexandria city,51510,Carbon Monoxide,CAP,3737.893278,TON
Off-Highway,Hampton city,51650,Carbon Monoxide,CAP,3557.054692,TON
Off-Highway,Virginia Beach city,51810,Volatile Organic Compounds,CAP,3425.278263,TON
Off-Highway,Newport News city,51700,Nitrogen Oxides,CAP,3413.351512,TON
Off-Highway,Loudoun,51107,Nitrogen Oxides,CAP,3208.607451,TON
Off-Highway,Virginia Beach city,51810,Nitrogen Oxides,CAP,3192.607346,TON
Off-Highway,Roanoke city,51770,Carbon Monoxide,CAP,3032.903083,TON
Off-Highway,Fairfax,51059,Volatile Organic Compounds,CAP,2873.531294,TON
Off-Highway,Bedford,51019,Carbon Monoxide,CAP,2837.771571,TON
Off-Highway,James city,51095,Carbon Monoxide,CAP,2712.288563,TON
Off-Highway,Stafford,51179,Carbon Monoxide,CAP,2698.569121,TON
Off-Highway,Campbell,51031,Carbon Monoxide,CAP,2615.440479,TON
Off-Highway,Fairfax,51059,Nitrogen Oxides,CAP,2592.663438,TON
Off-Highway,Montgomery,51121,Carbon Monoxide,CAP,2530.303325,TON
Off-Highway,Fauquier,51061,Carbon Monoxide,CAP,2524.385048,TON
